Player,Solo score,Solo top1,Solo kd,Solo winRatio,Solo matches,Solo kills,Solo minutesPlayed,Duos score,Duos top1,Duos kd,Duos winRatio,Duos matches,Duos kills,Duos minutesPlayed,Trios score,Trios top1,Trios kd,Trios winRatio,Trios matches,Trios kills,Trios minutesPlayed,Squads score,Squads top1,Squads kd,Squads winRatio,Squads matches,Squads kills,Squads minutesPlayed,LTM score,LTM top1,LTM top3,LTM kd,LTM winRatio,LTM matches,LTM kills,LTM minutesPlayed,most_played_mode
Prospеring,2476763,1828,4.37,18.0,10150,36328,81389,4702684,5584,10.71,45.7,12229,71137,133725,299128.0,244.0,6.65,31.2,783.0,3584.0,10280.0,3640415.0,5116.0,6.88,31.7,16131.0,75787.0,117967.0,101589.0,170.0,118.0,5.78,26.8,634.0,2682.0,2865.0,Squads
BH nixxxay,439562,1694,8.71,29.1,5817,35895,12732,4065613,4141,9.49,21.5,19252,143330,119678,6432.0,4.0,8.06,19.0,21.0,137.0,207.0,5275367.0,4978.0,10.24,30.3,16433.0,117327.0,150439.0,151358.0,229.0,190.0,8.2,18.2,1259.0,8442.0,4206.0,Duos
Raпger,4519465,4582,9.6,34.0,13488,85481,122171,1137279,1390,7.78,24.6,5649,33123,31744,990451.0,716.0,4.75,26.4,2711.0,9477.0,36634.0,2745537.0,4435.0,8.4,32.9,13494.0,76065.0,86684.0,452136.0,1180.0,818.0,11.12,32.9,3583.0,26726.0,12273.0,Squads
Idk_Pi,752869,121,0.84,3.3,3687,3005,32453,5326457,2249,1.02,9.2,24365,22498,223469,612525.0,209.0,1.14,8.6,2421.0,2526.0,27403.0,1781544.0,336.0,0.87,4.1,8232.0,6892.0,80016.0,1748407.0,190.0,246.0,2.33,5.4,3539.0,7787.0,33224.0,Duos
Twitch.GryphonRB,1136282,1327,6.32,30.0,4429,19591,36245,3692623,5743,11.13,50.6,11339,62270,93804,703062.0,900.0,24.07,78.5,1146.0,5920.0,17767.0,2795511.0,3445.0,7.58,36.2,9524.0,46068.0,81424.0,556721.0,824.0,600.0,14.99,53.3,1546.0,10826.0,12019.0,Duos
Twitch Kayotica,2919037,1310,3.23,9.7,13438,39131,96777,1298412,1242,4.19,15.5,8007,28337,37799,1191651.0,569.0,2.83,12.5,4545.0,11253.0,46158.0,2644613.0,1433.0,3.18,10.1,14152.0,40507.0,89472.0,294971.0,184.0,185.0,4.81,11.7,1566.0,6654.0,8296.0,Squads
FaZe Replays,2389537,1454,3.84,7.8,18670,66161,76258,2508015,1935,4.34,9.6,20249,79433,82553,1296281.0,482.0,3.04,8.9,5444.0,15107.0,49450.0,1862087.0,1224.0,3.33,9.1,13443.0,40730.0,69693.0,383002.0,274.0,259.0,4.49,7.4,3718.0,15447.0,12634.0,Duos
NiteGamerYT 190k,15872,6,0.47,1.4,429,200,739,6438735,5449,3.52,19.8,27577,77818,217492,227351.0,119.0,1.41,13.6,876.0,1071.0,8968.0,780636.0,359.0,1.79,8.6,4169.0,6803.0,30012.0,370497.0,185.0,267.0,2.67,8.2,2263.0,5541.0,12625.0,Duos
ᴮᵒˢˢン,6772116,6480,1.39,32.6,19864,18610,283835,118705,65,0.68,2.9,2243,1486,5071,8778.0,5.0,1.79,15.2,33.0,50.0,366.0,427129.0,173.0,0.64,8.2,2106.0,1238.0,19419.0,827372.0,118.0,116.0,2.01,3.8,3067.0,5937.0,19174.0,Solo
CIUPEA 144.HZ,54479,9,0.61,0.5,1938,1174,2441,5873450,1250,0.91,3.4,36776,32332,270990,151006.0,49.0,1.0,7.2,684.0,636.0,6739.0,1117506.0,175.0,0.67,1.7,10100.0,6695.0,51058.0,440353.0,97.0,199.0,1.09,3.2,3048.0,3205.0,17273.0,Duos
