user_id,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,sessions,total_time_min,user_group,satisfaction_rating
user_00001,0,1,0,0,1,1,0,0,1,1,1,1,0,0,1,0,1,0,16,59.51,casual,
user_00002,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,0,0,0,5,214.75,professional,
user_00003,0,1,1,1,1,0,1,1,1,0,0,1,1,0,1,0,0,1,1,129.02,casual,
user_00004,0,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,19,264.96,casual,
user_00005,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,15,42.99,professional,
user_00006,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0,1,1,1,15,46.12,casual,
user_00007,0,1,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,17,24.79,disinterested,
user_00008,0,1,0,0,1,0,1,1,1,0,1,1,1,0,0,0,1,1,10,187.92,disinterested,
user_00009,0,0,0,1,0,0,1,0,0,1,1,1,0,1,1,0,1,0,12,151.44,casual,
user_00010,1,0,1,1,1,0,1,0,1,0,0,0,1,1,0,1,0,1,14,172.14,casual,
user_00011,0,0,0,1,1,1,0,1,1,1,1,1,0,1,1,0,0,0,2,119.78,casual,
user_00012,0,1,1,0,0,0,0,1,1,1,1,1,0,0,0,1,1,1,14,118.95,professional,
user_00013,0,0,1,1,1,1,1,0,1,1,1,0,1,0,1,1,0,0,3,298.51,professional,
user_00014,0,1,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0,12,56.1,casual,
user_00015,1,1,1,0,0,0,1,1,1,1,0,1,1,1,0,0,1,1,15,20.25,casual,
user_00016,0,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,10,265.96,casual,
user_00017,1,1,0,1,1,0,0,1,0,0,0,1,0,0,1,1,1,0,19,138.33,casual,
user_00018,1,1,1,1,0,1,0,1,1,1,0,1,1,1,0,1,0,0,17,184.45,disinterested,
user_00019,1,1,0,1,1,1,0,0,1,0,1,1,1,1,1,0,1,0,14,241.24,casual,
user_00020,0,1,0,1,1,1,1,0,0,1,1,1,0,0,0,1,1,1,10,75.16,casual,
user_00021,1,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,11,257.15,disinterested,
user_00022,0,1,0,0,1,1,0,1,1,1,0,0,0,1,0,1,1,1,16,81.34,professional,
user_00023,1,0,0,0,1,0,1,1,1,0,0,0,1,1,1,0,0,0,8,20.92,casual,
user_00024,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,3,8.73,casual,4.0
user_00025,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,1,0,0,3,164.58,professional,
user_00026,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,8,31.01,professional,
user_00027,1,0,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,0,19,72.35,professional,
user_00028,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,0,0,0,8,224.25,professional,
user_00029,1,0,1,1,1,0,0,0,1,1,1,0,0,0,0,1,0,0,18,223.69,professional,
user_00030,1,0,1,0,0,1,1,0,0,0,0,1,0,1,1,0,0,1,18,10.71,professional,
user_00031,0,0,0,0,1,1,0,1,1,0,1,1,1,1,1,1,1,0,14,282.44,professional,
user_00032,0,1,1,0,0,0,0,0,1,1,1,1,1,0,1,0,1,0,16,76.55,casual,
user_00033,1,1,1,1,1,0,0,1,0,1,1,0,1,0,0,1,0,1,14,14.31,casual,
user_00034,1,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,1,4,289.08,casual,
user_00035,1,1,0,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,7,239.76,casual,
user_00036,0,0,1,1,0,1,0,1,1,1,1,0,1,1,1,0,1,0,6,57.13,casual,
user_00037,1,0,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,0,6,116.84,professional,
user_00038,0,1,0,0,1,1,0,0,0,0,1,1,0,1,1,0,0,1,4,105.19,professional,
user_00039,0,1,1,0,0,1,0,0,1,1,1,1,0,1,0,0,1,0,6,18.16,professional,
user_00040,0,1,0,0,0,1,1,1,0,1,1,0,0,0,1,1,0,1,9,223.16,casual,
user_00041,0,1,1,0,1,1,0,1,0,0,0,1,0,0,1,1,1,1,6,138.4,professional,
user_00042,0,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,12,289.74,casual,
user_00043,1,1,1,0,1,1,1,0,1,0,0,0,1,1,0,1,1,0,17,91.69,professional,
user_00044,1,0,1,1,1,0,1,0,1,1,1,0,1,0,0,1,1,1,18,104.83,casual,
user_00045,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,12,78.11,professional,
user_00046,1,0,1,0,0,0,1,0,0,1,1,1,0,0,1,1,0,1,19,117.28,casual,
user_00047,1,1,0,0,0,1,1,0,1,1,1,1,1,1,0,1,0,0,19,135.22,disinterested,
user_00048,0,0,1,0,0,1,1,0,1,1,0,0,0,1,1,0,0,1,10,9.26,casual,
user_00049,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,1,0,13,186.69,casual,
user_00050,1,1,1,0,1,1,1,0,1,1,1,1,1,0,0,1,0,0,10,280.71,disinterested,5.0
user_00051,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,13,70.72,casual,
user_00052,1,0,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,6,56.29,disinterested,
user_00053,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,1,1,1,3,290.98,casual,
user_00054,1,1,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,1,10,100.87,casual,
user_00055,0,0,0,0,1,0,0,1,1,1,0,1,1,0,0,1,1,0,10,263.86,casual,
user_00056,1,1,1,1,0,1,0,1,0,0,1,1,0,1,0,0,0,1,16,84.77,casual,
user_00057,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,0,1,14,255.55,casual,
user_00058,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,1,1,0,18,232.93,disinterested,
user_00059,0,1,1,0,0,1,1,1,1,0,0,0,0,1,0,0,1,1,12,113.69,casual,
user_00060,0,1,1,0,0,1,0,1,1,1,1,1,1,0,0,0,1,1,8,97.89,casual,
user_00061,0,1,1,0,1,1,0,0,1,1,1,1,1,0,0,0,1,1,5,83.43,casual,4.0
user_00062,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,0,3,237.02,professional,
user_00063,0,0,1,1,0,1,0,0,1,1,0,1,1,0,1,1,0,1,18,201.38,casual,
user_00064,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,4,127.82,casual,
user_00065,0,1,0,0,1,0,1,0,0,1,1,1,0,0,0,0,1,0,19,185.58,professional,
user_00066,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,4,273.94,casual,
user_00067,1,1,1,0,1,1,1,0,1,0,1,1,1,1,0,0,1,0,1,58.71,casual,
user_00068,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,8,186.57,casual,
user_00069,1,0,0,1,1,0,1,0,1,1,1,1,1,1,1,0,0,0,15,45.22,disinterested,
user_00070,1,0,0,0,1,1,0,1,0,0,1,1,1,0,1,0,1,1,14,276.28,professional,
user_00071,1,0,0,1,1,0,1,0,1,1,0,1,0,0,1,0,1,0,2,85.63,casual,
user_00072,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,15,219.49,professional,
user_00073,0,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,17,175.2,professional,
user_00074,1,0,0,1,0,0,0,1,0,1,1,1,1,0,1,1,1,0,9,77.45,casual,
user_00075,0,0,1,1,0,1,0,1,1,1,0,0,0,1,0,0,1,1,8,281.85,disinterested,
user_00076,1,1,1,1,0,0,1,1,1,1,0,1,0,1,0,0,1,0,18,214.41,casual,
user_00077,1,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,19,298.79,casual,
user_00078,1,1,0,0,0,0,1,1,1,0,0,1,1,0,1,0,1,1,11,251.91,professional,
user_00079,0,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,1,0,4,26.23,disinterested,
user_00080,1,0,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,1,8,157.84,casual,
user_00081,0,0,1,0,0,1,1,1,0,1,0,1,0,1,1,0,1,1,3,226.24,casual,
user_00082,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,1,105.56,casual,
user_00083,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,7,138.09,professional,5.0
user_00084,1,1,0,1,1,0,0,0,1,0,0,1,1,0,1,0,1,1,1,293.84,casual,
user_00085,0,1,0,1,0,1,0,0,1,1,1,1,0,0,0,0,1,1,2,280.83,professional,
user_00086,0,0,0,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,11,218.99,professional,
user_00087,1,1,0,1,0,1,1,0,1,1,1,0,1,0,0,0,1,0,19,272.94,casual,
user_00088,0,1,0,1,0,0,0,0,1,1,0,0,1,1,1,0,0,0,7,156.28,casual,
user_00089,1,1,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,1,17,286.51,casual,
user_00090,1,0,1,0,1,1,0,0,0,1,1,0,0,1,1,0,1,1,15,297.87,casual,
user_00091,1,1,0,1,1,1,1,1,1,0,0,1,0,1,1,0,0,1,4,250.72,professional,
user_00092,1,1,1,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,7,214.16,professional,
user_00093,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,14,244.5,casual,
user_00094,1,0,0,1,1,1,1,1,0,0,1,1,1,1,0,1,0,1,9,249.77,disinterested,
user_00095,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,12,285.06,casual,
user_00096,1,1,0,0,0,1,1,0,1,0,0,1,1,1,0,1,1,0,14,134.09,casual,
user_00097,1,1,1,0,1,1,1,0,1,0,0,0,0,1,1,0,0,1,13,240.31,casual,
user_00098,1,1,0,1,1,1,0,0,0,1,1,0,0,1,1,1,1,1,8,127.14,professional,
user_00099,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,0,0,4,124.38,professional,
user_00100,0,1,0,0,1,1,0,0,1,1,1,1,0,0,0,1,0,0,11,15.25,casual,
user_00101,0,1,1,1,1,1,0,1,0,1,0,0,0,0,1,1,1,0,10,171.81,professional,
user_00102,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,8,48.75,casual,
user_00103,1,0,1,1,0,1,0,1,0,0,0,1,1,0,0,0,1,1,13,174.45,professional,
user_00104,1,0,1,1,0,1,1,0,0,1,0,1,0,1,0,1,1,0,6,195.88,casual,
user_00105,1,0,0,1,1,0,0,0,1,1,1,0,1,1,0,0,0,1,2,231.32,professional,
user_00106,1,0,0,0,1,1,1,0,0,1,1,1,1,1,0,0,0,1,8,217.6,professional,5.0
user_00107,1,0,1,1,0,0,0,0,1,0,1,1,0,0,0,1,0,1,18,72.19,disinterested,
user_00108,1,1,1,1,0,0,1,1,1,0,1,0,0,1,1,1,0,0,17,65.18,disinterested,
